Price,Close,High,Low,Open,Volume,SMA_10,SMA_50,Next_Close
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,
Date,,,,,,,,
2023-03-15,151.26417541503906,151.52123700910988,148.22879983662045,149.48447760738804,77167900,149.33419494628907,143.0462225341797,154.0919189453125
2023-03-16,154.0919189453125,154.69503836094123,149.92940378389787,150.443542077547,76161100,150.31697998046874,143.6586486816406,153.2515106201172
2023-03-17,153.2515106201172,154.97188784795392,152.53963142836827,154.31932940774055,98944600,150.70950012207032,144.22879638671876,155.62445068359375
2023-03-20,155.62445068359375,156.0397261696518,152.4111121554213,153.32074741504434,73641400,151.0624755859375,144.87286026000976,157.4832000732422
2023-03-21,157.4832000732422,157.6018415548637,154.77410391183622,155.54531880235135,73938300,151.82180938720703,145.46327606201172,156.04959106445312
2023-03-22,156.04959106445312,160.31096943804832,156.029812451383,157.50300984854792,75701800,152.31221771240234,146.01455535888672,157.13717651367188
2023-03-23,157.13717651367188,159.7276317574304,155.90127718884906,157.03831361968307,67622100,153.13681030273438,146.57613403320312,158.4423065185547
2023-03-24,158.4423065185547,158.53128765648677,156.069385653722,157.06798695939537,59196500,154.2985595703125,147.10932098388673,156.4945068359375
2023-03-27,156.4945068359375,158.9564235953307,156.08912825748425,158.13578467553296,52390300,155.07074890136718,147.6051318359375,155.87159729003906
2023-03-28,155.87159729003906,156.70213299816345,154.22043780927265,156.1879947191645,45992200,155.5710433959961,148.06183013916015,158.95640563964844
2023-03-29,158.95640563964844,159.2332458359396,157.55242604798346,157.57218957153339,51305700,156.34026641845702,148.55692626953126,160.52847290039062
2023-03-30,160.52847290039062,160.63723263142947,159.45077243888025,159.70783403649028,49501700,156.98392181396486,149.09787658691405,163.039794921875
2023-03-31,163.039794921875,163.13867287949554,160.08353408091384,160.60755406565474,68749800,157.96275024414064,149.68786865234375,164.2954864501953
2023-04-03,164.2954864501953,164.4141279400383,162.36748680694973,162.41692578993744,56976200,158.8298538208008,150.25164001464844,163.76158142089844
2023-04-04,163.76158142089844,164.95792331758295,163.24744316398008,164.7206403425892,46278300,159.45769195556642,150.7407614135742,161.91268920898438
2023-04-05,161.91268920898438,163.1881457283857,159.9748075653386,162.88164511746857,51511700,160.04400177001952,151.1648681640625,162.8025360107422
2023-04-06,162.8025360107422,163.09915484076092,160.17253885078875,160.5976809407093,45390100,160.61053771972655,151.6200015258789,160.2021942138672
2023-04-10,160.2021942138672,160.2021942138672,158.2741945090455,159.59907481013732,47716900,160.78652648925782,151.98166442871093,158.98609924316406
2023-04-11,158.98609924316406,160.52849925536958,158.69936213850445,160.5186174915291,47644200,161.03568572998046,152.2801092529297,158.2939910888672
2023-04-12,158.2939910888672,160.23187277591592,157.9775936210526,159.40135205289505,50133100,161.27792510986328,152.6225619506836,163.6923828125
2023-04-13,163.6923828125,163.92968090167284,159.59908506589906,159.8067227797579,68445600,161.75152282714845,153.0475131225586,163.34632873535156
2023-04-14,163.34632873535156,164.44380780578675,161.97200945675792,162.7333124858637,49386500,162.03330841064454,153.44303497314453,163.36611938476562
2023-04-17,163.36611938476562,163.52431812616888,162.179658997566,163.22769925770336,41516200,162.0659408569336,153.73253082275392,164.59213256835938
2023-04-18,164.59213256835938,165.5215312907478,163.78137535549732,164.2263111895451,49923000,162.09560546875,153.9738882446289,165.73902893066406
2023-04-19,165.73902893066406,166.26304897753164,163.67259403000486,163.92967071563345,47720200,162.29335021972656,154.29287506103515,164.77008056640625
2023-04-20,164.77008056640625,165.9763194310247,163.69238005042013,164.21640012100644,52456400,162.57908935546874,154.53482940673828,163.1584930419922
2023-04-21,163.1584930419922,164.57235465877127,162.63447292379246,163.1881534195007,58337300,162.61468505859375,154.7984539794922,163.46499633789062
2023-04-24,163.46499633789062,163.73195482649055,162.041237847574,163.13871709330454,41949600,162.9409652709961,155.0889404296875,161.9225616455078
2023-04-25,161.9225616455078,164.43390199308925,161.88300442555024,163.3265412208214,48714100,163.23461151123047,155.34126190185546,161.91268920898438
2023-04-26,161.91268920898438,163.41554697412082,160.96352700012233,161.22058862196803,45498800,163.5964813232422,155.53722595214845,166.51025390625
2023-04-27,166.51025390625,166.65855579595313,163.32657592288362,163.32657592288362,64902300,163.87826843261718,155.8379946899414,167.76589965820312
2023-04-28,167.76589965820312,167.93399523157063,165.98621681699632,166.58933625125528,55275900,164.32022552490236,156.12175750732422,167.67691040039062
2023-05-01,167.67691040039062,168.52720964209172,166.7376300382773,167.370409816753,52472900,164.75130462646484,156.4357751464844,166.63876342773438
2023-05-02,166.63876342773438,168.42835824019505,165.65004401355455,168.17128153704527,48425700,164.95596771240236,156.7519677734375,165.56105041503906
2023-05-03,165.56105041503906,168.9919077307227,165.27432844465707,167.58792807875122,65136000,164.93816986083985,157.12708770751954,163.91978454589844
2023-05-04,163.91978454589844,165.15568380990734,162.45648404157697,163.0299431104764,81235400,164.85314025878907,157.46087951660155,171.61203002929688
2023-05-05,171.61203002929688,172.33379095243657,168.8337158986843,169.05123536921852,113453200,165.69849395751953,157.9388269042969,171.54281616210938
2023-05-08,171.54281616210938,171.88887398730245,170.1684967974759,170.53431814830344,55962800,166.50627593994142,158.4685821533203,169.8323211669922
2023-05-09,169.8323211669922,171.5823434942616,169.66424069363828,171.09788068478838,45326900,167.29725189208983,158.94020111083984,171.60214233398438
2023-05-10,171.60214233398438,172.06684167430913,169.96086445482297,171.06824047843108,53724500,168.26619720458984,159.4573013305664,171.78997802734375
2023-05-11,171.78997802734375,172.62049861686478,170.22779972610607,171.88885599180736,49514700,168.7941696166992,160.01968444824217,170.85931396484375
2023-05-12,170.85931396484375,172.33453386665053,169.30487018579348,171.89889318697968,45533100,169.10351104736327,160.55158935546876,170.36428833007812
2023-05-15,170.36428833007812,171.49298697857782,169.77023004875,171.44347960387887,37266700,169.37224884033202,160.97234893798827,170.36428833007812
2023-05-16,170.36428833007812,171.42367363249335,170.0969605927275,170.28507955206572,42110300,169.74480133056642,161.3377407836914,170.97808837890625
2023-05-17,170.97808837890625,171.21569953718372,168.73058715920473,170.00780756504747,57951600,170.28650512695313,161.7595053100586,173.3147430419922
2023-05-18,173.3147430419922,173.50286200077872,170.86922679282654,171.28506154552485,65496700,171.2260009765625,162.20289001464843,173.42361450195312
2023-05-19,173.42361450195312,174.6414170849176,173.20579418857395,174.6414170849176,55809500,171.40715942382812,162.69353729248047,172.47317504882812
2023-05-22,172.47317504882812,172.978129154019,171.73060970122336,172.25535467159494,43570900,171.5001953125,163.20650451660157,169.85931396484375
2023-05-23,169.85931396484375,171.66127945739515,169.5820908286863,171.41375772100255,50747300,171.50289459228514,163.62823852539063,170.1365203857422
2023-05-24,170.1365203857422,170.71077257065826,168.8296136019024,169.3939552495186,45143500,171.35633239746093,164.01359588623046,171.27516174316406
2023-05-25,171.27516174316406,172.17612946392208,169.9880455752579,170.70090944955888,56058300,171.30485076904296,164.41381561279297,173.6909637451172
2023-05-26,173.6909637451172,174.02760482348145,171.39396964747598,171.60189457506777,54835000,171.5880157470703,164.80579650878906,175.54241943359375
2023-05-30,175.54241943359375,177.21566879798618,174.81966018947244,175.20579349606086,55964400,172.10582885742187,165.2516146850586,175.492919921875
2023-05-31,175.492919921875,177.57210865507508,175.00777185545402,175.57212869440465,99625300,172.61869201660156,165.64898406982422,178.30474853515625
2023-06-01,178.30474853515625,178.33444993394386,175.17607026429087,175.93844141740337,68901800,173.35135803222656,166.0654150390625,179.15621948242188
2023-06-02,179.15621948242188,179.97799341291704,177.48297022337377,179.2354282464183,61996900,173.93550567626954,166.52754760742187,177.79981994628906
2023-06-05,177.79981994628906,183.1165821425977,176.275077551752,180.8195882273271,121946500,174.3731262207031,166.94080047607423,177.4334716796875
2023-06-06,177.4334716796875,178.3344392347369,175.67110318136787,178.18593224970854,64848400,174.86915588378906,167.32062377929688,176.05726623535156
2023-06-07,176.05726623535156,179.41366034455214,175.56222276728346,176.67111530134713,61944600,175.48895111083985,167.71187896728514,178.77999877929688
2023-06-08,178.77999877929688,179.04731136486936,175.70082791608735,176.1364534617516,50214900,176.35329895019532,168.1700469970703,179.16616821289062
2023-06-09,179.16616821289062,180.423567952115,178.83943765707895,179.70080859942686,48900000,177.14239959716798,168.57424224853514,181.96807861328125
2023-06-12,181.96807861328125,182.0670933538608,179.17604119777275,179.473070311983,54274900,177.97011108398436,169.00303436279296,181.4928436279297
2023-06-13,181.4928436279297,182.32451307330234,180.63147278147434,180.98790470199526,54929100,178.56515350341797,169.37209533691407,182.12648010253906
2023-06-14,182.12648010253906,182.56212075064622,180.21561965950994,181.5522278943548,57462900,179.22850952148437,169.72871520996094,184.1660919189453
2023-06-15,184.1660919189453,184.67104599748652,181.95820196536692,182.136425495302,65433200,179.81464385986328,170.13680541992187,183.08688354492188
2023-06-16,183.08688354492188,185.1363708565112,182.4433330473612,184.87893857146415,101256200,180.20771026611328,170.5602893066406,183.17596435546875
2023-06-20,183.17596435546875,184.2551705135613,182.58192130455032,182.58192130455032,49799100,180.74532470703124,170.96775787353516,182.13641357421875
2023-06-21,182.13641357421875,183.57203672168455,180.77998409317422,183.0670826761933,49515700,181.2156188964844,171.40644226074218,185.14627075195312
2023-06-22,185.14627075195312,185.19577812392734,181.84927919785179,181.91859254012144,51245300,182.12451934814453,171.92964569091797,184.82943725585938
2023-06-23,184.82943725585938,185.70071866604846,183.17599374881706,183.71064919871634,53117000,182.72946319580078,172.46035461425782,183.4334259033203
2023-06-26,183.4334259033203,186.18586660248252,183.39381396241686,184.9779592329188,48088700,183.15618896484375,172.8551754760742,186.1957550048828
